Cardname,Value
01050,168
01110,129
04015,108
01007,107
02009,101
01008,87
02091,87
03052,82
01026,80
01022,74
01018,71
03054,71
01012,70
01053,68
03038,67
01034,66
03035,61
01021,61
01111,61
03046,59
01090,59
01106,58
02047,55
01103,55
01011,51
01043,51
03053,50
04119,50
02107,49
01064,49
01010,49
01014,47
05035,47
01113,46
01099,45
01028,45
01051,45
01070,45
03034,43
02043,43
02110,43
01036,43
04043,42
04040,41
03049,40
02106,39
02104,39
01002,39
01101,39
02060,39
01024,38
01004,38
01092,37
02087,37
02003,36
02056,35
01109,35
01062,34
02066,34
02041,34
01044,34
01055,32
01035,32
02105,31
03040,31
01098,31
02070,31
02019,31
01108,31
05006,30
04012,30
04004,29
02085,29
01009,29
01006,29
04114,29
04109,28
02028,28
05046,28
05042,28
03026,27
05007,26
01069,26
01084,26
01005,26
02014,26
01047,26
01049,26
02051,26
01033,26
04061,26
05041,26
01094,25
01081,25
01107,25
01056,25
02115,25
03015,25
05016,25
04076,24
04033,24
01088,24
01059,24
02013,24
04020,23
02032,23
01020,23
04120,23
04013,23
02069,23
04065,23
01078,23
04100,22
03023,22
01058,22
02018,22
04054,22
02024,22
01104,22
03028,21
04096,21
02049,21
01041,21
02020,21
01038,21
01030,21
04117,21
01102,21
01075,21
03031,20
04074,20
01019,20
01086,20
01080,20
04009,20
05024,20
04086,20
03019,20
05015,20
02079,19
02033,19
02031,19
01093,19
01027,19
02007,19
01054,19
02046,19
02048,19
01001,19
05029,19
05017,19
04060,19
05005,18
04078,18
01061,18
01082,18
05037,18
03017,18
01037,18
04106,17
02077,17
04073,17
04029,17
04047,17
01057,17
02116,17
04011,17
04077,16
01068,16
01065,16
05036,16
06003,16
05053,16
05028,16
04093,16
02052,16
02117,16
01072,16
03048,15
01112,15
04042,15
03027,15
02080,15
04058,15
04017,15
05018,15
03006,15
03009,15
04067,15
01077,15
03041,14
04099,14
05009,14
01017,14
01016,14
06033,14
04003,14
05054,14
02055,14
05010,14
02064,14
05048,14
01095,13
04079,13
01015,13
04032,13
04036,13
04041,13
05032,13
02045,13
04008,13
02012,13
05050,13
02112,13
05011,13
02092,13
02103,12
01029,12
01085,12
01083,12
01003,12
02017,12
05020,12
01040,12
02118,12
01032,12
03005,12
02102,11
05014,11
03043,11
03044,11
05001,11
01067,11
01087,11
02088,11
06002,11
01042,11
04059,11
04115,11
03004,11
06068,11
05045,11
02109,10
02101,10
04090,10
06079,10
04005,10
04006,10
06040,10
02083,10
02081,10
02050,10
02059,10
03055,10
02025,10
02026,10
02021,10
04111,10
06010,10
02065,10
04063,10
02039,9
04071,9
04030,9
04039,9
01089,9
05030,9
02120,9
03013,9
05023,9
05026,9
04089,9
06030,9
06030,9
06037,8
03042,8
01091,8
05004,8
03029,8
06071,8
01063,8
04038,8
02006,8
02004,8
04044,8
05033,8
05031,8
02082,8
02016,8
02011,8
04053,8
03014,8
05027,8
02022,8
06057,8
02029,8
04081,8
04085,8
02095,8
01031,8
06059,7
03045,7
06022,7
01025,7
04104,7
04108,7
04034,7
05034,7
03012,7
05055,7
02058,7
04014,7
02027,7
02023,7
06056,7
01039,7
06019,7
01100,7
03003,7
06038,7
04022,6
03047,6
03033,6
02074,6
04027,6
04075,6
01060,6
02002,6
02001,6
02008,6
04095,6
05039,6
01052,6
02015,6
03016,6
01046,6
01045,6
04080,6
04088,6
05013,6
02063,6
01073,6
03030,5
06099,5
01023,5
01013,5
05038,5
02042,5
02086,5
06005,5
06051,5
04056,5
01048,5
04082,5
02094,5
06011,5
06017,5
04068,5
06066,5
06061,5
01079,5
02108,4
04021,4
02035,4
06021,4
07040,4
03039,4
07036,4
05003,4
06091,4
02071,4
02076,4
06077,4
06073,4
04037,4
06027,4
06032,4
07032,4
07035,4
04049,4
04002,4
06047,4
02089,4
06009,4
06008,4
03011,4
03010,4
05025,4
02114,4
04018,4
04010,4
06052,4
02097,4
03002,4
04066,4
01076,4
01071,4
02036,3
02034,3
05002,3
05008,3
06092,3
06096,3
03022,3
04101,3
04105,3
04107,3
02073,3
04035,3
06035,3
03025,3
02067,3
02040,3
04007,3
06044,3
06049,3
06048,3
06007,3
03018,3
04050,3
05052,3
02053,3
02111,3
03051,3
04019,3
04016,3
06053,3
02096,3
02090,3
02098,3
02099,3
03007,3
03001,3
03008,3
04062,3
01074,3
04024,2
02037,2
02038,2
01096,2
07030,2
07049,2
03037,2
06094,2
02075,2
04026,2
04072,2
06075,2
06070,2
04028,2
01066,2
06026,2
01097,2
02068,2
03024,2
02044,2
04001,2
06041,2
06046,2
02084,2
06004,2
06001,2
07029,2
04052,2
04051,2
04092,2
04091,2
02057,2
02113,2
03050,2
06055,2
07055,2
04055,2
05012,2
04113,2
04110,2
04118,2
06013,2
06014,2
06018,2
01105,2
02062,2
06065,2
06063,2
06062,2
05,2
06031,1
06111,1
06110,1
06113,1
04025,1
02030,1
06023,1
06024,1
04098,1
07045,1
07042,1
03036,1
03032,1
06090,1
04048,1
04102,1
04103,1
02072,1
04070,1
06072,1
06078,1
06029,1
06028,1
06100,1
06036,1
06034,1
07031,1
07033,1
07037,1
07039,1
07038,1
04046,1
03020,1
03021,1
07043,1
07013,1
06006,1
02010,1
04057,1
05051,1
05021,1
05022,1
02054,1
02119,1
04097,1
04083,1
04084,1
04087,1
05019,1
06086,1
04116,1
04112,1
06015,1
07015,1
07014,1
02078,1
07010,1
04064,1
04069,1
06064,1
06069,1
05043,1
05040,1
06,1
03,1
